# measurements_sample_1.txt
# Extracto de muestras (primeras 10)
# Columns: timestamp, temperature_C, energy_J, latency_us, dim_0, dim_1, dim_2, ..., dim_7

1690000000.000000, 23.45, 0.000123, 0.050, 1024, 256, 0.123, 0.045
1690000000.000050, 23.46, 0.000130, 0.052, 1030, 260, 0.128, 0.047
1690000000.000100, 23.47, 0.000128, 0.049, 1018, 254, 0.121, 0.044
1690000000.000150, 23.48, 0.000135, 0.051, 1042, 268, 0.130, 0.048
1690000000.000200, 23.50, 0.000140, 0.053, 1050, 272, 0.135, 0.049
1690000000.000250, 23.49, 0.000138, 0.050, 1046, 270, 0.132, 0.048
1690000000.000300, 23.51, 0.000142, 0.054, 1056, 276, 0.137, 0.050
1690000000.000350, 23.52, 0.000145, 0.055, 1060, 280, 0.140, 0.051
1690000000.000400, 23.53, 0.000148, 0.056, 1068, 284, 0.144, 0.052
1690000000.000450, 23.54, 0.000150, 0.057, 1072, 288, 0.147, 0.053

# Nota: las dimensiones restantes (dim_8..dim_71) están correlacionadas con las primeras 8 dimensiones y fueron omitidas en este extracto para legibilidad.
